sport;year;state;gp;bp;gr;br;Row ;Column
Crew;2007/2008;MD;0;0;0;0;4;8,5
Adapted Floor Hockey;2007/2008;MD;0;0;0;0;4;8,5
Pentathlon;2007/2008;MD;0;0;0;0;4;8,5
Archery;2007/2008;MD;0;0;0;0;4;8,5
Heptathlon;2007/2008;MD;0;0;0;0;4;8,5
Skiing -- Alpine;2007/2008;MD;0;0;0;0;4;8,5
Rodeo;2007/2008;MD;0;0;0;0;4;8,5
Ice Hockey;2007/2008;MD;0;0;0;0;4;8,5
Adapted Softball;2007/2008;MD;0;0;0;0;4;8,5
Native Youth Olympics;2007/2008;MD;0;0;0;0;4;8,5
Soft Tennis;2007/2008;MD;0;0;0;0;4;8,5
Weight Lifting;2007/2008;MD;0;0;0;0;4;8,5
Other 2:;2007/2008;MD;0;0;0;0;4;8,5
