sport;year;state;gp;bp;gr;br;Row ;Column
Volleyball;2018/2019;AK;1907;327;0,1882713;0,02882327;0;0,5
Basketball;2018/2019;AK;1513;1920;0,149373087;0,16923755;0;0,5
Track and Field -- Outdoor;2018/2019;AK;961;1225;0,094876098;0,107977082;0;0,5
Soccer;2018/2019;AK;960;929;0,094777372;0,081886294;0;0,5
Cross Country;2018/2019;AK;791;1003;0,078092605;0,088408991;0;0,5
Softball -- Fast Pitch;2018/2019;AK;767;2;0,075723171;0,000176289;0;0,5
Mixed 6-Coed Volleyball;2018/2019;AK;600;327;0,059235857;0,02882327;0;0,5
Flag Football;2018/2019;AK;475;0;0,046895054;0;0;0,5
Swimming & Diving;2018/2019;AK;466;398;0,046006516;0,035081534;0;0,5
Wrestling;2018/2019;AK;347;1249;0,034258071;0,110092552;0;0,5
Skiing -- Cross Country;2018/2019;AK;324;582;0,031987363;0,051300132;0;0,5
Tennis;2018/2019;AK;225;205;0,022213447;0,018069634;0;0,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;AK;209;25;0,020633824;0,002203614;0;0,5
Canoe Paddling;2018/2019;AK;154;6;0,01520387;0,000528867;0;0,5
Bowling;2018/2019;AK;110;110;0,010859907;0,009695901;0;0,5
Gymnastics;2018/2019;AK;103;0;0,010168822;0;0;0,5
Riflery;2018/2019;AK;56;140;0,00552868;0,012340238;0;0,5
Football -- 11-Player;2018/2019;AK;52;1564;0,005133774;0,137858087;0;0,5
Dance Team, Jazz;2018/2019;AK;50;0;0,004936321;0;0;0,5
Ice Hockey;2018/2019;AK;40;614;0,003949057;0,054120758;0;0,5
Baseball;2018/2019;AK;16;717;0,001579623;0,063199647;0;0,5
Dance/Drill;2018/2019;AK;3;2;0,000296179;0,000176289;0;0,5
Cycling;2018/2019;AK;0;0;0;0;0;0,5
Kayaking;2018/2019;AK;0;0;0;0;0;0,5
Figure Skating;2018/2019;AK;0;0;0;0;0;0,5
Water Polo;2018/2019;AK;0;0;0;0;0;0,5
Golf;2018/2019;AK;0;0;0;0;0;0,5
Adapted Floor Hockey;2018/2019;AK;0;0;0;0;0;0,5
Sand Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Archery;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Strength Training;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Handball;2018/2019;AK;0;0;0;0;0;0,5
Bass Fishing;2018/2019;AK;0;0;0;0;0;0,5
Crew;2018/2019;AK;0;0;0;0;0;0,5
Skiing -- Alpine;2018/2019;AK;0;0;0;0;0;0,5
Football -- 6-player;2018/2019;AK;0;0;0;0;0;0,5
Team Tennis;2018/2019;AK;0;0;0;0;0;0,5
Mt. Biking;2018/2019;AK;0;0;0;0;0;0,5
Rodeo;2018/2019;AK;0;0;0;0;0;0,5
Heptathlon;2018/2019;AK;0;0;0;0;0;0,5
Rock Climbing;2018/2019;AK;0;0;0;0;0;0,5
Trap Shooting;2018/2019;AK;0;0;0;0;0;0,5
Dance;2018/2019;AK;0;0;0;0;0;0,5
Drill Team;2018/2019;AK;0;0;0;0;0;0,5
Decathlon;2018/2019;AK;0;0;0;0;0;0,5
Dance Team, High Kick;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Corn Toss;2018/2019;AK;0;0;0;0;0;0,5
Sailing;2018/2019;AK;0;0;0;0;0;0,5
Unified Flag Football;2018/2019;AK;0;0;0;0;0;0,5
Adapted Football;2018/2019;AK;0;0;0;0;0;0,5
Track and Field -- Indoor;2018/2019;AK;0;0;0;0;0;0,5
Adapted Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Beach Volleyball;2018/2019;AK;0;0;0;0;0;0,5
Weight Lifting;2018/2019;AK;0;0;0;0;0;0,5
Judo;2018/2019;AK;0;0;0;0;0;0,5
Adapted Soccer;2018/2019;AK;0;0;0;0;0;0,5
Adapted Track;2018/2019;AK;0;0;0;0;0;0,5
Native Youth Olympics;2018/2019;AK;0;0;0;0;0;0,5
Badminton;2018/2019;AK;0;0;0;0;0;0,5
Adapted Bocce - Indoor;2018/2019;AK;0;0;0;0;0;0,5
Squash;2018/2019;AK;0;0;0;0;0;0,5
Bocce - Outdoor;2018/2019;AK;0;0;0;0;0;0,5
Rythmic Gymnastics;2018/2019;AK;0;0;0;0;0;0,5
Ultimate Frisbee;2018/2019;AK;0;0;0;0;0;0,5
Martial Arts;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Tennis;2018/2019;AK;0;0;0;0;0;0,5
Lacrosse;2018/2019;AK;0;0;0;0;0;0,5
Soft Tennis;2018/2019;AK;0;0;0;0;0;0,5
Adapted Softball;2018/2019;AK;0;0;0;0;0;0,5
Equestrian;2018/2019;AK;0;0;0;0;0;0,5
Unified Track and Field -- Outdoor;2018/2019;AK;0;0;0;0;0;0,5
Air Riflery;2018/2019;AK;0;0;0;0;0;0,5
Adapted Bowling;2018/2019;AK;0;0;0;0;0;0,5
Adaptive Golf;2018/2019;AK;0;0;0;0;0;0,5
Softball -- Slow Pitch;2018/2019;AK;0;0;0;0;0;0,5
Fencing;2018/2019;AK;0;0;0;0;0;0,5
Football -- 8-player;2018/2019;AK;0;0;0;0;0;0,5
Adapted Basketball;2018/2019;AK;0;0;0;0;0;0,5
Football -- 9-player;2018/2019;AK;0;0;0;0;0;0,5
Surfing;2018/2019;AK;0;0;0;0;0;0,5
Synchronized Swimming;2018/2019;AK;0;0;0;0;0;0,5
Roller Hockey;2018/2019;AK;0;0;0;0;0;0,5
Rugby;2018/2019;AK;0;0;0;0;0;0,5
Snowboarding;2018/2019;AK;0;0;0;0;0;0,5
Field Hockey;2018/2019;AK;0;0;0;0;0;0,5
Volleyball;2018/2019;AL;10310;0;0,210403869;0;6;7,5
Softball -- Fast Pitch;2018/2019;AL;9752;0;0,199016347;0;6;7,5
Basketball;2018/2019;AL;8559;13648;0,174669905;0,152127873;6;7,5
Track and Field -- Outdoor;2018/2019;AL;5962;8317;0,121670986;0,092705709;6;7,5
Soccer;2018/2019;AL;5434;6916;0,110895696;0,077089417;6;7,5
Cross Country;2018/2019;AL;2669;3804;0,054468276;0,042401409;6;7,5
Track and Field -- Indoor;2018/2019;AL;2047;2728;0,041774658;0,03040774;6;7,5
Tennis;2018/2019;AL;1926;1504;0,03930532;0,016764385;6;7,5
Swimming & Diving;2018/2019;AL;882;742;0,017999633;0,008270727;6;7,5
Golf;2018/2019;AL;784;1690;0,015999673;0,01883764;6;7,5
Bowling;2018/2019;AL;610;731;0,012448726;0,008148115;6;7,5
Heptathlon;2018/2019;AL;66;0;0,001346911;0;6;7,5
Squash;2018/2019;AL;0;0;0;0;6;7,5
Ultimate Frisbee;2018/2019;AL;0;0;0;0;6;7,5
Adaptive Corn Toss;2018/2019;AL;0;0;0;0;6;7,5
Rugby;2018/2019;AL;0;0;0;0;6;7,5
Rodeo;2018/2019;AL;0;0;0;0;6;7,5
Badminton;2018/2019;AL;0;0;0;0;6;7,5
Trap Shooting;2018/2019;AL;0;0;0;0;6;7,5
Riflery;2018/2019;AL;0;0;0;0;6;7,5
Canoe Paddling;2018/2019;AL;0;0;0;0;6;7,5
Adapted Floor Hockey;2018/2019;AL;0;0;0;0;6;7,5
Team Tennis;2018/2019;AL;0;0;0;0;6;7,5
Crew;2018/2019;AL;0;0;0;0;6;7,5
Adapted Bocce - Indoor;2018/2019;AL;0;0;0;0;6;7,5
Adaptive Golf;2018/2019;AL;0;0;0;0;6;7,5
Football -- 11-Player;2018/2019;AL;0;32366;0;0,360768665;6;7,5
Adaptive Tennis;2018/2019;AL;0;0;0;0;6;7,5
Adapted Bowling;2018/2019;AL;0;0;0;0;6;7,5
Synchronized Swimming;2018/2019;AL;0;0;0;0;6;7,5
Dance;2018/2019;AL;0;0;0;0;6;7,5
Ice Hockey;2018/2019;AL;0;0;0;0;6;7,5
Football -- 6-player;2018/2019;AL;0;0;0;0;6;7,5
Bocce - Outdoor;2018/2019;AL;0;0;0;0;6;7,5
Decathlon;2018/2019;AL;0;88;0;0,000980895;6;7,5
Unified Track and Field -- Outdoor;2018/2019;AL;0;0;0;0;6;7,5
Adaptive Handball;2018/2019;AL;0;0;0;0;6;7,5
Air Riflery;2018/2019;AL;0;0;0;0;6;7,5
Football -- 8-player;2018/2019;AL;0;0;0;0;6;7,5
Archery;2018/2019;AL;0;0;0;0;6;7,5
Judo;2018/2019;AL;0;0;0;0;6;7,5
Bass Fishing;2018/2019;AL;0;0;0;0;6;7,5
Surfing;2018/2019;AL;0;0;0;0;6;7,5
Drill Team;2018/2019;AL;0;0;0;0;6;7,5
Fencing;2018/2019;AL;0;0;0;0;6;7,5
Rock Climbing;2018/2019;AL;0;0;0;0;6;7,5
Flag Football;2018/2019;AL;0;0;0;0;6;7,5
Roller Hockey;2018/2019;AL;0;0;0;0;6;7,5
Adapted Track;2018/2019;AL;0;0;0;0;6;7,5
Kayaking;2018/2019;AL;0;0;0;0;6;7,5
Lacrosse;2018/2019;AL;0;0;0;0;6;7,5
Rythmic Gymnastics;2018/2019;AL;0;0;0;0;6;7,5
Skiing -- Cross Country;2018/2019;AL;0;0;0;0;6;7,5
Skiing -- Alpine;2018/2019;AL;0;0;0;0;6;7,5
Dance Team, High Kick;2018/2019;AL;0;0;0;0;6;7,5
Soft Tennis;2018/2019;AL;0;0;0;0;6;7,5
Dance/Drill;2018/2019;AL;0;0;0;0;6;7,5
Mixed 6-Coed Volleyball;2018/2019;AL;0;0;0;0;6;7,5
Softball -- Slow Pitch;2018/2019;AL;0;0;0;0;6;7,5
Sailing;2018/2019;AL;0;0;0;0;6;7,5
Dance Team, Jazz;2018/2019;AL;0;0;0;0;6;7,5
Wrestling;2018/2019;AL;0;3080;0;0,03433132;6;7,5
Weight Lifting;2018/2019;AL;0;0;0;0;6;7,5
Sand Volleyball;2018/2019;AL;0;0;0;0;6;7,5
Mt. Biking;2018/2019;AL;0;0;0;0;6;7,5
Adapted Soccer;2018/2019;AL;0;0;0;0;6;7,5
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;AL;0;0;0;0;6;7,5
Figure Skating;2018/2019;AL;0;0;0;0;6;7,5
Water Polo;2018/2019;AL;0;0;0;0;6;7,5
Adaptive Strength Training;2018/2019;AL;0;0;0;0;6;7,5
Adapted Volleyball;2018/2019;AL;0;0;0;0;6;7,5
Unified Flag Football;2018/2019;AL;0;0;0;0;6;7,5
Martial Arts;2018/2019;AL;0;0;0;0;6;7,5
Snowboarding;2018/2019;AL;0;0;0;0;6;7,5
Native Youth Olympics;2018/2019;AL;0;0;0;0;6;7,5
Gymnastics;2018/2019;AL;0;0;0;0;6;7,5
Cycling;2018/2019;AL;0;0;0;0;6;7,5
Adapted Softball;2018/2019;AL;0;0;0;0;6;7,5
Adapted Basketball;2018/2019;AL;0;0;0;0;6;7,5
Field Hockey;2018/2019;AL;0;0;0;0;6;7,5
Football -- 9-player;2018/2019;AL;0;0;0;0;6;7,5
Equestrian;2018/2019;AL;0;0;0;0;6;7,5
Baseball;2018/2019;AL;0;14100;0;0,157166106;6;7,5
Beach Volleyball;2018/2019;AL;0;0;0;0;6;7,5
Softball -- Fast Pitch;2018/2019;AR;4392;0;0,1670216;0;5;6
Basketball;2018/2019;AR;4000;5144;0,15211439;0,119694713;5;6
Track and Field -- Outdoor;2018/2019;AR;3361;8363;0,127814116;0,194596984;5;6
Volleyball;2018/2019;AR;2923;0;0,111157591;0;5;6
Soccer;2018/2019;AR;2461;3038;0,093588378;0,070690618;5;6
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;AR;1846;77;0,070200791;0,001791698;5;6
Cross Country;2018/2019;AR;1506;1862;0,057271068;0,043326508;5;6
Tennis;2018/2019;AR;1062;946;0,040386371;0,022012286;5;6
Track and Field -- Indoor;2018/2019;AR;808;1151;0,030727107;0,02678239;5;6
Dance;2018/2019;AR;741;14;0,028179191;0,000325763;5;6
Golf;2018/2019;AR;697;1211;0,026505932;0,028178518;5;6
Bowling;2018/2019;AR;655;732;0,024908731;0,017032762;5;6
Swimming & Diving;2018/2019;AR;572;532;0,021752358;0,012379002;5;6
Archery;2018/2019;AR;475;539;0,018063584;0,012541884;5;6
Trap Shooting;2018/2019;AR;328;1330;0,01247338;0,030947506;5;6
Adapted Basketball;2018/2019;AR;59;135;0,002243687;0,003141288;5;6
Unified Track and Field -- Outdoor;2018/2019;AR;54;34;0,002053544;0,000791139;5;6
Adapted Soccer;2018/2019;AR;54;13;0,002053544;0,000302494;5;6
Wrestling;2018/2019;AR;54;1137;0,002053544;0,026456627;5;6
Heptathlon;2018/2019;AR;53;3;0,002015516;6,98064E-05;5;6
Lacrosse;2018/2019;AR;50;100;0,00190143;0,00232688;5;6
Adapted Bowling;2018/2019;AR;33;42;0,001254944;0,00097729;5;6
Gymnastics;2018/2019;AR;25;0;0,000950715;0;5;6
Rodeo;2018/2019;AR;24;55;0,000912686;0,001279784;5;6
Decathlon;2018/2019;AR;17;85;0,000646486;0,001977848;5;6
Air Riflery;2018/2019;AR;14;16;0,0005324;0,000372301;5;6
Riflery;2018/2019;AR;14;16;0,0005324;0,000372301;5;6
Baseball;2018/2019;AR;10;5489;0,000380286;0,12772245;5;6
Football -- 11-Player;2018/2019;AR;7;10255;0,0002662;0,238621556;5;6
Football -- 8-player;2018/2019;AR;1;119;3,80286E-05;0,002768987;5;6
Skiing -- Cross Country;2018/2019;AR;0;0;0;0;5;6
Badminton;2018/2019;AR;0;0;0;0;5;6
Equestrian;2018/2019;AR;0;0;0;0;5;6
Adapted Floor Hockey;2018/2019;AR;0;0;0;0;5;6
Bocce - Outdoor;2018/2019;AR;0;0;0;0;5;6
Roller Hockey;2018/2019;AR;0;0;0;0;5;6
Team Tennis;2018/2019;AR;0;0;0;0;5;6
Canoe Paddling;2018/2019;AR;0;0;0;0;5;6
Sand Volleyball;2018/2019;AR;0;0;0;0;5;6
Drill Team;2018/2019;AR;0;0;0;0;5;6
Figure Skating;2018/2019;AR;0;0;0;0;5;6
Beach Volleyball;2018/2019;AR;0;0;0;0;5;6
Martial Arts;2018/2019;AR;0;0;0;0;5;6
Adaptive Handball;2018/2019;AR;0;0;0;0;5;6
Rock Climbing;2018/2019;AR;0;0;0;0;5;6
Adaptive Corn Toss;2018/2019;AR;0;0;0;0;5;6
Crew;2018/2019;AR;0;0;0;0;5;6
Water Polo;2018/2019;AR;0;0;0;0;5;6
Dance Team, Jazz;2018/2019;AR;0;0;0;0;5;6
Judo;2018/2019;AR;0;0;0;0;5;6
Adaptive Strength Training;2018/2019;AR;0;0;0;0;5;6
Dance Team, High Kick;2018/2019;AR;0;0;0;0;5;6
Mt. Biking;2018/2019;AR;0;0;0;0;5;6
Adapted Bocce - Indoor;2018/2019;AR;0;0;0;0;5;6
Adaptive Golf;2018/2019;AR;0;0;0;0;5;6
Soft Tennis;2018/2019;AR;0;0;0;0;5;6
Mixed 6-Coed Volleyball;2018/2019;AR;0;0;0;0;5;6
Ice Hockey;2018/2019;AR;0;0;0;0;5;6
Softball -- Slow Pitch;2018/2019;AR;0;0;0;0;5;6
Fencing;2018/2019;AR;0;0;0;0;5;6
Sailing;2018/2019;AR;0;0;0;0;5;6
Kayaking;2018/2019;AR;0;0;0;0;5;6
Field Hockey;2018/2019;AR;0;0;0;0;5;6
Adapted Track;2018/2019;AR;0;0;0;0;5;6
Squash;2018/2019;AR;0;0;0;0;5;6
Rythmic Gymnastics;2018/2019;AR;0;0;0;0;5;6
Skiing -- Alpine;2018/2019;AR;0;0;0;0;5;6
Rugby;2018/2019;AR;0;0;0;0;5;6
Native Youth Olympics;2018/2019;AR;0;0;0;0;5;6
Weight Lifting;2018/2019;AR;0;538;0;0,012518615;5;6
Bass Fishing;2018/2019;AR;0;0;0;0;5;6
Football -- 9-player;2018/2019;AR;0;0;0;0;5;6
Adaptive Tennis;2018/2019;AR;0;0;0;0;5;6
Flag Football;2018/2019;AR;0;0;0;0;5;6
Adapted Volleyball;2018/2019;AR;0;0;0;0;5;6
Snowboarding;2018/2019;AR;0;0;0;0;5;6
Cycling;2018/2019;AR;0;0;0;0;5;6
Adapted Softball;2018/2019;AR;0;0;0;0;5;6
Unified Flag Football;2018/2019;AR;0;0;0;0;5;6
Synchronized Swimming;2018/2019;AR;0;0;0;0;5;6
Ultimate Frisbee;2018/2019;AR;0;0;0;0;5;6
Surfing;2018/2019;AR;0;0;0;0;5;6
Football -- 6-player;2018/2019;AR;0;0;0;0;5;6
Dance/Drill;2018/2019;AR;0;0;0;0;5;6
Volleyball;2018/2019;AZ;8159;2359;0,154476778;0,034427904;5;3
Softball -- Fast Pitch;2018/2019;AZ;6690;0;0,126663764;0;5;3
Track and Field -- Outdoor;2018/2019;AZ;6530;8984;0,123634436;0,131115003;5;3
Soccer;2018/2019;AZ;6489;7848;0,122858171;0,114535902;5;3
Basketball;2018/2019;AZ;6322;8219;0,11969631;0,119950379;5;3
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;AZ;6098;322;0,115455251;0,004699358;5;3
Swimming & Diving;2018/2019;AZ;3232;2641;0,061192419;0,038543491;5;3
Cross Country;2018/2019;AZ;2687;3507;0,050873772;0,051182137;5;3
Tennis;2018/2019;AZ;2672;2131;0,050589772;0,031100409;5;3
Badminton;2018/2019;AZ;1412;0;0,026733817;0;5;3
Golf;2018/2019;AZ;988;1634;0,018706098;0,023847052;5;3
Sand Volleyball;2018/2019;AZ;951;0;0,018005566;0;5;3
Wrestling;2018/2019;AZ;481;4894;0,009106916;0,071424402;5;3
Football -- 11-Player;2018/2019;AZ;79;16498;0,001495731;0,240776416;5;3
Baseball;2018/2019;AZ;18;7509;0,000340799;0,109588441;5;3
Football -- 8-player;2018/2019;AZ;9;1974;0,0001704;0,028809107;5;3
Martial Arts;2018/2019;AZ;0;0;0;0;5;3
Adapted Floor Hockey;2018/2019;AZ;0;0;0;0;5;3
Archery;2018/2019;AZ;0;0;0;0;5;3
Snowboarding;2018/2019;AZ;0;0;0;0;5;3
Cycling;2018/2019;AZ;0;0;0;0;5;3
Team Tennis;2018/2019;AZ;0;0;0;0;5;3
Unified Flag Football;2018/2019;AZ;0;0;0;0;5;3
Soft Tennis;2018/2019;AZ;0;0;0;0;5;3
Adapted Track;2018/2019;AZ;0;0;0;0;5;3
Figure Skating;2018/2019;AZ;0;0;0;0;5;3
Sailing;2018/2019;AZ;0;0;0;0;5;3
Dance;2018/2019;AZ;0;0;0;0;5;3
Trap Shooting;2018/2019;AZ;0;0;0;0;5;3
Skiing -- Cross Country;2018/2019;AZ;0;0;0;0;5;3
Bocce - Outdoor;2018/2019;AZ;0;0;0;0;5;3
Mixed 6-Coed Volleyball;2018/2019;AZ;0;0;0;0;5;3
Riflery;2018/2019;AZ;0;0;0;0;5;3
Flag Football;2018/2019;AZ;0;0;0;0;5;3
Ice Hockey;2018/2019;AZ;0;0;0;0;5;3
Adapted Softball;2018/2019;AZ;0;0;0;0;5;3
Adapted Bowling;2018/2019;AZ;0;0;0;0;5;3
Adaptive Strength Training;2018/2019;AZ;0;0;0;0;5;3
Dance/Drill;2018/2019;AZ;0;0;0;0;5;3
Adapted Football;2018/2019;AZ;0;0;0;0;5;3
Adaptive Handball;2018/2019;AZ;0;0;0;0;5;3
Air Riflery;2018/2019;AZ;0;0;0;0;5;3
Adaptive Tennis;2018/2019;AZ;0;0;0;0;5;3
Canoe Paddling;2018/2019;AZ;0;0;0;0;5;3
Adapted Basketball;2018/2019;AZ;0;0;0;0;5;3
Football -- 6-player;2018/2019;AZ;0;0;0;0;5;3
Beach Volleyball;2018/2019;AZ;0;0;0;0;5;3
Dance Team, Jazz;2018/2019;AZ;0;0;0;0;5;3
Rodeo;2018/2019;AZ;0;0;0;0;5;3
Track and Field -- Indoor;2018/2019;AZ;0;0;0;0;5;3
Roller Hockey;2018/2019;AZ;0;0;0;0;5;3
Equestrian;2018/2019;AZ;0;0;0;0;5;3
Rugby;2018/2019;AZ;0;0;0;0;5;3
Synchronized Swimming;2018/2019;AZ;0;0;0;0;5;3
Judo;2018/2019;AZ;0;0;0;0;5;3
Ultimate Frisbee;2018/2019;AZ;0;0;0;0;5;3
Mt. Biking;2018/2019;AZ;0;0;0;0;5;3
Rock Climbing;2018/2019;AZ;0;0;0;0;5;3
Squash;2018/2019;AZ;0;0;0;0;5;3
Skiing -- Alpine;2018/2019;AZ;0;0;0;0;5;3
Crew;2018/2019;AZ;0;0;0;0;5;3
Native Youth Olympics;2018/2019;AZ;0;0;0;0;5;3
Unified Track and Field -- Outdoor;2018/2019;AZ;0;0;0;0;5;3
Lacrosse;2018/2019;AZ;0;0;0;0;5;3
Heptathlon;2018/2019;AZ;0;0;0;0;5;3
Fencing;2018/2019;AZ;0;0;0;0;5;3
Rythmic Gymnastics;2018/2019;AZ;0;0;0;0;5;3
Adapted Volleyball;2018/2019;AZ;0;0;0;0;5;3
Softball -- Slow Pitch;2018/2019;AZ;0;0;0;0;5;3
Kayaking;2018/2019;AZ;0;0;0;0;5;3
Weight Lifting;2018/2019;AZ;0;0;0;0;5;3
Surfing;2018/2019;AZ;0;0;0;0;5;3
Gymnastics;2018/2019;AZ;0;0;0;0;5;3
Drill Team;2018/2019;AZ;0;0;0;0;5;3
Unified Basketball;2018/2019;AZ;0;0;0;0;5;3
Adapted Soccer;2018/2019;AZ;0;0;0;0;5;3
Field Hockey;2018/2019;AZ;0;0;0;0;5;3
Bowling;2018/2019;AZ;0;0;0;0;5;3
Dance Team, High Kick;2018/2019;AZ;0;0;0;0;5;3
Decathlon;2018/2019;AZ;0;0;0;0;5;3
Adapted Bocce - Indoor;2018/2019;AZ;0;0;0;0;5;3
Bass Fishing;2018/2019;AZ;0;0;0;0;5;3
Water Polo;2018/2019;AZ;0;0;0;0;5;3
Football -- 9-player;2018/2019;AZ;0;0;0;0;5;3
Adaptive Golf;2018/2019;AZ;0;0;0;0;5;3
Adaptive Corn Toss;2018/2019;AZ;0;0;0;0;5;3
Soccer;2018/2019;CA;49342;54996;0,137473532;0,118070629;5;2
Volleyball;2018/2019;CA;45997;22224;0,128153906;0,047712591;5;2
Track and Field -- Outdoor;2018/2019;CA;45235;55335;0,12603087;0,118798426;5;2
Basketball;2018/2019;CA;35902;48111;0,100027861;0,103289258;5;2
Softball -- Fast Pitch;2018/2019;CA;32233;1712;0,089805528;0,003675484;5;2
Swimming & Diving;2018/2019;CA;29576;21822;0,082402764;0,046849539;5;2
Cross Country;2018/2019;CA;24208;31880;0,067446785;0,068443007;5;2
Tennis;2018/2019;CA;23546;19230;0,065602363;0,041284788;5;2
Water Polo;2018/2019;CA;16568;17304;0,046160704;0,037149868;5;2
Competitive Spirit* (Boys who cheer/Girls who cheer);2018/2019;CA;15705;880;0,043756269;0,001889267;5;2
Lacrosse;2018/2019;CA;9840;10189;0,02741558;0,021874712;5;2
Golf;2018/2019;CA;8862;11023;0,024690739;0,023665222;5;2
Wrestling;2018/2019;CA;6014;22602;0,016755823;0,048524117;5;2
Badminton;2018/2019;CA;5026;3830;0,01400312;0,008222607;5;2
Field Hockey;2018/2019;CA;4058;150;0,011306141;0,000322034;5;2
Sand Volleyball;2018/2019;CA;1286;683;0,003582971;0,001466329;5;2
Gymnastics;2018/2019;CA;772;5;0,002150897;1,07345E-05;5;2
Flag Football;2018/2019;CA;660;406;0,00183885;0,000871639;5;2
Football -- 11-Player;2018/2019;CA;593;91305;0,001652179;0,196022233;5;2
Surfing;2018/2019;CA;462;1034;0,001287195;0,002219889;5;2
Baseball;2018/2019;CA;418;44347;0,001164605;0,095208345;5;2
Equestrian;2018/2019;CA;309;19;0,000860916;4,0791E-05;5;2
Rugby;2018/2019;CA;264;896;0,00073554;0,001923618;5;2
Crew;2018/2019;CA;240;167;0,000668673;0,000358531;5;2
Weight Lifting;2018/2019;CA;228;565;0,000635239;0,001212996;5;2
Skiing -- Alpine;2018/2019;CA;150;221;0,00041792;0,000474464;5;2
Decathlon;2018/2019;CA;149;178;0,000415134;0,000382147;5;2
Archery;2018/2019;CA;144;135;0,000401204;0,000289831;5;2
Trap Shooting;2018/2019;CA;132;297;0,00036777;0,000637628;5;2
Mt. Biking;2018/2019;CA;121;308;0,000337122;0,000661244;5;2
Sailing;2018/2019;CA;120;188;0,000334336;0,000403616;5;2
Snowboarding;2018/2019;CA;110;216;0,000306475;0,000463729;5;2
Fencing;2018/2019;CA;97;149;0,000270255;0,000319887;5;2
Roller Hockey;2018/2019;CA;66;207;0,000183885;0,000444407;5;2
Rock Climbing;2018/2019;CA;49;47;0,000136521;0,000100904;5;2
Rodeo;2018/2019;CA;49;35;0,000136521;7,51413E-05;5;2
Ultimate Frisbee;2018/2019;CA;48;91;0,000133735;0,000195367;5;2
Riflery;2018/2019;CA;47;63;0,000130948;0,000135254;5;2
Squash;2018/2019;CA;45;59;0,000125376;0,000126667;5;2
Martial Arts;2018/2019;CA;42;42;0,000117018;9,01696E-05;5;2
Adapted Soccer;2018/2019;CA;40;70;0,000111445;0,000150283;5;2
Skiing -- Cross Country;2018/2019;CA;35;43;9,75148E-05;9,23165E-05;5;2
Adapted Track;2018/2019;CA;30;102;8,35841E-05;0,000218983;5;2
Ice Hockey;2018/2019;CA;29;495;8,07979E-05;0,001062713;5;2
Softball -- Slow Pitch;2018/2019;CA;20;12;5,57227E-05;2,57627E-05;5;2
Football -- 8-player;2018/2019;CA;17;2068;4,73643E-05;0,004439779;5;2
Football -- 6-player;2018/2019;CA;16;1;4,45782E-05;2,14689E-06;5;2
Adapted Softball;2018/2019;CA;10;30;2,78614E-05;6,44068E-05;5;2
Bowling;2018/2019;CA;8;17;2,22891E-05;3,64972E-05;5;2
Adapted Bowling;2018/2019;CA;2;0;5,57227E-06;0;5;2
Figure Skating;2018/2019;CA;0;0;0;0;5;2
Adapted Basketball;2018/2019;CA;0;0;0;0;5;2
Dance Team, High Kick;2018/2019;CA;0;0;0;0;5;2
Adaptive Tennis;2018/2019;CA;0;0;0;0;5;2
Mixed 6-Coed Volleyball;2018/2019;CA;0;0;0;0;5;2
Team Tennis;2018/2019;CA;0;0;0;0;5;2
Adapted Floor Hockey;2018/2019;CA;0;0;0;0;5;2
Adaptive Corn Toss;2018/2019;CA;0;0;0;0;5;2
Adapted Volleyball;2018/2019;CA;0;0;0;0;5;2
Unified Flag Football;2018/2019;CA;0;0;0;0;5;2
Beach Volleyball;2018/2019;CA;0;0;0;0;5;2
Unified Track and Field -- Outdoor;2018/2019;CA;0;0;0;0;5;2
Adaptive Handball;2018/2019;CA;0;0;0;0;5;2
Bocce - Outdoor;2018/2019;CA;0;0;0;0;5;2
Air Riflery;2018/2019;CA;0;0;0;0;5;2
Kayaking;2018/2019;CA;0;0;0;0;5;2
Drill Team;2018/2019;CA;0;0;0;0;5;2
Adapted Football;2018/2019;CA;0;0;0;0;5;2
Unified Basketball;2018/2019;CA;0;0;0;0;5;2
Football -- 9-player;2018/2019;CA;0;0;0;0;5;2
Judo;2018/2019;CA;0;0;0;0;5;2
Synchronized Swimming;2018/2019;CA;0;0;0;0;5;2
Soft Tennis;2018/2019;CA;0;0;0;0;5;2
Dance/Drill;2018/2019;CA;0;0;0;0;5;2
Canoe Paddling;2018/2019;CA;0;0;0;0;5;2
Native Youth Olympics;2018/2019;CA;0;0;0;0;5;2
Cycling;2018/2019;CA;0;0;0;0;5;2
Heptathlon;2018/2019;CA;0;0;0;0;5;2
Adaptive Golf;2018/2019;CA;0;0;0;0;5;2
Rythmic Gymnastics;2018/2019;CA;0;0;0;0;5;2
Adapted Bocce - Indoor;2018/2019;CA;0;0;0;0;5;2
Dance;2018/2019;CA;0;0;0;0;5;2
Bass Fishing;2018/2019;CA;0;0;0;0;5;2
Adaptive Strength Training;2018/2019;CA;0;0;0;0;5;2
